"","ID","Survey","Stren","Mod","Mild","Motive1","Motive2","Motive3","Motive4","Motive5","Motive6","Motive7","Motive8","Motive9","Motive10","Motive11","Motive12","Motive13","Motive14","Motive15","Motive16","Motive17","Motive18","Motive19","Barr1","Barr2","Barr3","Barr4","Barr5","Barr6","Barr7","Barr8","Barr9","Barr10","Barr11","Barr12","Barr13","Barr14","Barr15","Barr16","Barr17","Barr18","Barr19","Barr20","Sex","Month","Year","Educat","EducatOther","Marist","Income","Employ"
"52",127,"rural",0,0,0,0,4,4,2,2,0,4,4,0,4,0,0,4,4,4,0,0,4,0,2,3,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1938,1,NA,2,2,4
"53",128,"rural",0,0,0,0,4,4,2,2,0,4,4,0,4,0,0,4,4,4,0,0,4,0,2,3,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,0,7,1934,1,NA,2,2,4
"54",131,"rural",1,4,4,2,2,2,1,0,3,0,1,0,2,1,0,1,2,2,2,0,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,0,9,1943,6,NA,2,7,4
"55",132,"rural",6,6,6,0,3,4,4,0,0,3,4,0,4,0,0,3,4,4,0,4,4,0,1,1,1,1,1,3,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,9,1946,5,NA,2,7,4
"56",133,"rural",0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,1,4,NA,NA,2,NA,4,1,NA,1,1,2,4,NA,4,NA,NA,NA,4,NA,1,12,1945,5,NA,2,NA,3
"57",134,"rural",0,4,0,1,2,3,3,0,0,1,3,0,2,0,0,1,3,3,0,2,3,0,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,3,1,2,0,3,1944,6,NA,2,5,4
"58",137,"rural",0,3,12,0,4,4,2,0,0,2,4,0,4,0,0,2,4,NA,2,4,4,0,3,2,NA,3,3,2,4,2,1,1,2,1,4,5,4,5,NA,3,4,4,1,8,1945,2,NA,2,NA,4
"59",138,"rural",0,13,8,0,4,4,2,0,0,2,4,0,4,0,0,2,2,4,0,2,4,0,1,4,2,1,3,3,3,2,2,3,2,2,3,4,2,2,3,4,1,3,0,2,1938,4,NA,2,3,4
"60",140,"rural",0,0,6,1,3,3,1,0,1,NA,3,0,1,1,0,1,3,2,1,3,2,0,2,4,3,3,2,3,4,2,3,4,3,2,2,3,2,2,3,3,1,3,1,5,1946,2,NA,2,5,4
"61",141,"rural",0,2,1,2,3,4,3,0,3,2,4,0,2,1,0,2,4,3,2,2,3,0,3,4,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,3,2,2,0,10,1943,5,NA,2,5,4
"62",142,"rural",3,4,7,0,1,0,1,0,0,1,0,0,0,0,0,2,4,4,0,4,4,0,1,3,4,3,4,4,3,2,2,3,2,1,2,4,2,2,3,4,1,4,0,8,1944,5,NA,2,4,4
