participation,barriers,motive,efficacy,id
5.53846153846154,2.55508870214753,3.94444444444444,58.8611111111111,1
12,2.31279178338002,3.33333333333333,80.5238095238095,2
1.03846153846154,2.34955648926237,3,64.9801587301587,3
1.73076923076923,2.82866479925303,2.66666666666667,NA,4
8.88461538461539,1.85247432306256,3.05555555555556,49.7083333333333,5
18.6923076923077,1.81139122315593,4.22222222222222,74.9761904761905,6
2.30769230769231,2.09617180205416,3.33333333333333,81.5833333333333,7
8.71153846153846,1.93790849673203,3.08333333333333,86.8888888888889,8
0.923076923076923,2.38176937441643,3.66666666666667,68.6322751322751,9
2.80769230769231,3.37289915966387,3.77777777777778,46.6574074074074,10
2.19230769230769,2.38246965452848,4.38888888888889,87.8055555555556,11
8.53846153846154,2.61426237161531,3.52777777777778,78.609126984127,12
0.403846153846154,2.68218954248366,2.75,76.3492063492064,13
1.26923076923077,2.32177871148459,2.72222222222222,59.0740740740741,14
30.4615384615385,2.00116713352007,4.16666666666667,63.6,15
21.2884615384615,1.51750700280112,3.5,63.0714285714286,16
1.03846153846154,3.62149859943978,1.33333333333333,43.4722222222222,17
3.46153846153846,2.63480392156863,3.61111111111111,58.7222222222222,18
1.73076923076923,2.73214285714286,2.5,58.3333333333333,19
6.57692307692308,1.93148926237162,3.61111111111111,79.1111111111111,20
8.19230769230769,2.28501400560224,3.08333333333333,57.2777777777778,21
28.1538461538462,1.95996732026144,3.91666666666667,NA,22
0.461538461538462,3.58321661998133,2.77777777777778,28.5833333333333,23
7.84615384615385,3.52941176470588,3.05555555555556,66.6666666666667,24
6.46153846153846,2.76073762838469,3.66666666666667,64.7777777777778,25
3.11538461538462,3.41900093370682,4.61111111111111,50.75,26
4.84615384615385,1.16199813258637,3.02777777777778,NA,27
6.69230769230769,1.5985060690943,4.05555555555556,81.5,28
8.25,2.30952380952381,4.75,83.3333333333333,29
2.07692307692308,2.29575163398693,4,81.9126984126984,30
18.8653846153846,3.45191409897292,3.05555555555556,68.5972222222222,31
6.17307692307692,2.22082166199813,3.80555555555556,53.8888888888889,32
6.34615384615385,1.17261904761905,3.5,93,33
3,1.56605975723623,4,77.1031746031746,34
11.6538461538462,2.25256769374416,4.08333333333333,56.6507936507936,35
13.3846153846154,1.296918767507,4.08333333333333,70.0333333333333,36
11.7692307692308,2.38153594771242,4.27777777777778,68.8190476190476,37
5.65384615384615,1.43312324929972,4.83333333333333,80,38
18.6346153846154,2.40184407096172,3.33333333333333,75.8796296296296,39
1.38461538461538,2.88176937441643,1.55555555555556,69.6746031746032,40
2.53846153846154,2.22233893557423,3.75,83.3333333333333,41
0.230769230769231,3.06127450980392,3.44444444444444,NA,42
4.78846153846154,2.83695144724557,2.91666666666667,57.6031746031746,43
12.1730769230769,2.09617180205416,2.77777777777778,15.6666666666667,44
2.71153846153846,2.37710084033613,3.77777777777778,43.2539682539683,45
9.63461538461539,2.39985994397759,3.55555555555556,65.6944444444444,46
6.46153846153846,1.95996732026144,3.63888888888889,80,47
15.5769230769231,1.19246031746032,4.08333333333333,68.5555555555556,48
12.5769230769231,3.24229691876751,4.36111111111111,71.75,49
